lat, lng, time,
48.2805491, 16.4110448, 1403187984,
48.2802468, 16.411629, 1403187994,
48.2801251, 16.4130299, 1403188004,
48.2800455, 16.4143727, 1403188014,
48.2799683, 16.4154973, 1403188024,
48.2796712, 16.4157352, 1403188034,
48.2794168, 16.4158302, 1403188044,
48.2793761, 16.4159371, 1403188054,
48.2793385, 16.4162423, 1403188074,
48.2792753, 16.4174071, 1403188084,
48.2792105, 16.418744, 1403188094,
48.2791001, 16.4195392, 1403188104,
48.2787969, 16.4202128, 1403188114,
48.2788872, 16.4212985, 1403188124,
48.2795023, 16.4215505, 1403188134,
48.2797339, 16.4220613, 1403188144,
48.2796957, 16.4235123, 1403188154,
48.2796373, 16.42482, 1403188164,
48.2790854, 16.4245696, 1403188174,
48.2783451, 16.4239898, 1403188184,
48.2775289, 16.4232629, 1403188194,
48.2766941, 16.4225776, 1403188204,
48.275991, 16.4218388, 1403188214,
48.2761468, 16.4205997, 1403188224,
48.2763509, 16.4190553, 1403188235,
48.2764846, 16.417606, 1403188245,
48.2766317, 16.4163046, 1403188255,
48.2767482, 16.4154751, 1403188265,
48.2773926, 16.4155935, 1403188275,
48.2776679, 16.4156256, 1403188285,
48.277687, 16.4156105, 1403188295,
48.2777399, 16.415627, 1403188345,
48.2778332, 16.4156264, 1403188355,
48.2779843, 16.4157265, 1403188365,
48.2781168, 16.4157174, 1403188375,
48.2782739, 16.4157628, 1403188385,
48.2782874, 16.4157274, 1403188395,
48.2783682, 16.4156959, 1403188405,
